previsao,valor_real
0.62882364,0.70882773
0.6816989,0.6448424
0.6717827,0.7361281
0.6857139,0.7542349
0.7251546,0.7959343
0.761835,0.7680956
0.74875826,0.7948095
0.73898584,0.80935717
0.75428784,0.79790014
0.76026803,0.7930681
0.7514023,0.7523315
0.72284657,0.75704217
0.71452016,0.7548895
0.72598255,0.75636876
0.7367039,0.8200097
0.7739524,0.828922
0.7992658,0.86606073
0.8129297,0.84903574
0.8008764,0.8586861
0.7909813,0.86770105
0.796909,0.8000175
0.76475406,0.8117052
0.7478952,0.7915901
0.74880165,0.7759451
0.74725384,0.7920177
0.7560869,0.7610273
0.746997,0.80914146
0.76398253,0.8135115
