previsao,valor_real
0.61064297,0.70882773
0.62931865,0.6448424
0.66093886,0.7361281
0.69488746,0.7542349
0.72396404,0.7959343
0.75242406,0.7680956
0.76734436,0.7948095
0.768377,0.80935717
0.76520413,0.79790014
0.7607056,0.7930681
0.7574704,0.7523315
0.74654686,0.75704217
0.73188615,0.7548895
0.7270699,0.75636876
0.72386396,0.8200097
0.75640935,0.828922
0.8007846,0.86606073
0.8368391,0.84903574
0.83626235,0.8586861
0.81097424,0.86770105
0.7881525,0.8000175
0.7645906,0.8117052
0.74833846,0.7915901
0.74073076,0.7759451
0.7454661,0.7920177
0.75845456,0.7610273
0.76455677,0.80914146
0.77368796,0.8135115
