previsao,valor_real
0.7389899,0.80697936
0.762427,0.73861015
0.74870646,0.8461332
0.7753102,0.86775565
0.8151819,0.91717786
0.85428745,0.9119031
0.8669708,0.9171539
0.86221135,0.93936354
0.8643445,0.9081392
0.8588163,0.9068418
0.85314775,0.88702834
0.8445169,0.8703708
0.8331391,0.87778956
0.83082414,0.8577208
0.8249563,0.9249758
0.84732294,0.93138254
0.8713772,0.9926308
0.90253186,0.97598547
0.9137607,0.98979074
0.91427106,0.96341777
0.90257305,0.9224921
0.8776578,0.923246
0.86387765,0.9215058
0.8645302,0.89053947
0.85843235,0.890174
0.85084516,0.8480118
0.8287297,0.9111176
0.83838564,0.8399817
