previsao,valor_real
0.74161685,0.8069793
0.7574268,0.7386101
0.75060034,0.84613323
0.7673877,0.86775565
0.8066393,0.91717786
0.8488289,0.91190314
0.8671996,0.9171539
0.8642602,0.93936354
0.86452615,0.9081392
0.86332923,0.9068418
0.86075854,0.88702834
0.8539948,0.8703708
0.8436707,0.87778956
0.8395627,0.85772073
0.83729404,0.92497575
0.8552034,0.9313826
0.8798708,0.99263084
0.9092625,0.97598547
0.922941,0.98979074
0.923651,0.9634178
0.91332185,0.92249215
0.89253867,0.9232461
0.87810767,0.9215058
0.8778888,0.8905394
0.87491685,0.890174
0.8670188,0.84801173
0.8470867,0.9111176
0.8493841,0.83998173
