previsao,valor_real
0.7567852,0.80697936
0.77764714,0.73861015
0.7866085,0.8461332
0.80142725,0.8677557
0.83234787,0.9171779
0.8818462,0.9119031
0.9201807,0.9171539
0.9279961,0.9393636
0.91715294,0.9081393
0.9005102,0.9068419
0.8890399,0.8870283
0.8822157,0.8703708
0.87382764,0.87778956
0.8685266,0.85772073
0.85966647,0.9249758
0.8740154,0.9313826
0.9031829,0.99263084
0.94434655,0.97598547
0.97237116,0.98979074
0.97816765,0.9634178
0.96219486,0.92249215
0.9279519,0.9232461
0.8983199,0.9215058
0.8881866,0.89053947
0.8894584,0.890174
0.8914269,0.8480118
0.87684065,0.9111176
0.87026006,0.83998173
